Fecha,Apertura,Maximo,Minimo,Cierre,Volumen
2024-04-08,118.37,120.37,116.41,118.42,2713185
2024-04-09,119.07,120.52,117.47,118.92,1881138
2024-04-10,118.59,120.99,117.01,119.41,1069824
2024-04-11,118.01,119.94,115.11,117.04,1698623
2024-04-12,117.75,120.27,115.72,118.24,1611388
2024-04-15,123.01,124.5,121.45,122.94,900077
2024-04-16,120.85,122.55,118.89,120.59,1639996
2024-04-17,122.89,123.62,122.08,122.81,1749848
2024-04-18,122.62,123.83,121.3,122.5,1314571
2024-04-19,127.24,129.06,124.9,126.72,1657722
2024-04-22,128.38,130.24,125.98,127.84,2090567
2024-04-23,129.52,130.62,128.29,129.39,1368048
2024-04-24,130.83,132.31,129.35,130.83,1856120
2024-04-25,131.05,132.58,129.78,131.31,1158253
2024-04-26,128.68,129.68,126.91,127.92,1646820
2024-04-29,130.71,132.19,129.66,131.14,1270280
2024-04-30,128.84,130.22,126.43,127.81,1457682
2024-05-01,127.76,129.23,126.87,128.33,1722850
2024-05-02,130.72,131.21,129.24,129.72,1186941
2024-05-03,127.57,128.56,126.68,127.67,919253
2024-05-06,127.99,129.56,126.4,127.97,948856
2024-05-07,130.8,132.48,128.99,130.67,1871322
2024-05-08,130.27,132.87,127.91,130.52,1717947
2024-05-09,127.85,130.03,126.15,128.33,1112802
2024-05-10,121.97,122.54,120.86,121.43,1802866
2024-05-13,118.88,121.0,117.11,119.23,1784880
2024-05-14,118.24,119.47,116.74,117.97,1909804
2024-05-15,115.83,118.33,114.41,116.91,1666843
2024-05-16,115.17,116.78,113.22,114.83,2853191
2024-05-17,116.01,117.61,114.33,115.94,1572678
2024-05-20,115.73,115.91,114.59,114.78,2130166
2024-05-21,114.33,114.81,114.26,114.74,1128818
2024-05-22,116.45,117.86,115.16,116.56,1501166
2024-05-23,115.22,116.4,113.55,114.73,1494923
2024-05-24,112.96,115.69,111.52,114.25,1882112
2024-05-27,119.29,119.81,119.03,119.55,1035642
2024-05-28,122.73,123.62,120.83,121.72,1278004
2024-05-29,118.27,120.3,116.73,118.76,1305684
2024-05-30,118.19,119.16,117.75,118.72,1478836
2024-05-31,120.78,121.91,119.06,120.18,1835934
2024-06-03,123.3,124.57,121.92,123.19,1582274
2024-06-04,123.61,125.33,121.88,123.59,1693687
2024-06-05,122.04,123.65,120.78,122.39,1490318
2024-06-06,121.03,122.32,119.45,120.74,1667256
2024-06-07,121.47,123.74,120.08,122.35,1991537
2024-06-10,122.34,125.16,120.34,123.15,1624872
2024-06-11,121.87,122.29,121.57,121.99,1910014
2024-06-12,121.04,122.57,120.1,121.62,1714626
2024-06-13,120.11,121.43,119.4,120.73,1102453
2024-06-14,122.46,124.02,120.97,122.53,1663082
2024-06-17,121.21,122.24,119.94,120.97,1568386
2024-06-18,121.79,124.41,119.6,122.21,1587956
2024-06-19,123.11,124.94,122.44,124.28,2095307
2024-06-20,124.63,126.43,123.65,125.45,1663306
2024-06-21,122.84,125.23,121.1,123.5,2123362
2024-06-24,126.21,128.47,124.44,126.7,1196255
2024-06-25,124.49,126.41,123.17,125.09,1603540
2024-06-26,125.74,127.72,124.12,126.1,987786
2024-06-27,123.81,124.98,123.15,124.32,1791260
2024-06-28,120.73,122.27,118.72,120.25,1050397
2024-07-01,120.97,122.4,119.46,120.89,934475
2024-07-02,121.17,123.19,119.65,121.66,1771526
2024-07-03,121.72,123.19,120.09,121.56,1634620
2024-07-04,122.38,123.53,121.15,122.29,1203394
2024-07-05,120.69,121.84,119.69,120.84,2353738
2024-07-08,119.36,120.55,118.01,119.2,1434044
2024-07-09,118.87,120.0,117.8,118.94,1714193
2024-07-10,123.54,125.17,121.94,123.56,1266969
2024-07-11,125.73,127.37,123.88,125.52,1101378
2024-07-12,124.4,125.72,122.98,124.3,1396975
2024-07-15,125.35,125.91,125.08,125.64,1932097
2024-07-16,123.96,125.1,123.38,124.52,1755027
2024-07-17,122.37,125.15,120.69,123.47,1674341
2024-07-18,125.89,127.01,124.41,125.53,1078623
2024-07-19,123.17,126.23,121.24,124.3,1347490
2024-07-22,120.08,122.38,118.09,120.39,1289972
2024-07-23,118.22,119.45,117.14,118.37,1468137
2024-07-24,118.1,119.64,117.18,118.72,1981393
2024-07-25,119.62,119.91,118.87,119.16,811278
2024-07-26,122.41,123.55,121.07,122.21,1382627
2024-07-29,121.22,121.53,120.29,120.6,1950410
2024-07-30,122.5,123.97,120.95,122.42,1609109
2024-07-31,123.99,125.07,122.41,123.49,1322127
2024-08-01,123.65,124.94,121.89,123.18,1065298
2024-08-02,126.01,127.81,123.39,125.2,2037644
2024-08-05,126.41,127.79,124.99,126.36,1380097
2024-08-06,123.74,125.56,122.51,124.32,1581385
2024-08-07,126.47,128.98,124.36,126.87,934860
2024-08-08,123.49,124.84,122.62,123.98,1983455
2024-08-09,124.0,125.19,122.96,124.15,1198323
2024-08-12,123.73,124.74,123.18,124.19,1884022
2024-08-13,125.58,127.28,123.52,125.22,1278806
2024-08-14,125.03,125.74,122.81,123.52,776910
2024-08-15,123.31,124.75,122.04,123.48,1790530
2024-08-16,122.59,124.69,121.09,123.2,2133739
2024-08-19,125.08,126.42,124.25,125.59,903498
2024-08-20,123.87,125.5,122.09,123.72,1794353
2024-08-21,124.43,126.34,122.03,123.93,1563687
2024-08-22,123.93,124.65,122.63,123.36,1232439
2024-08-23,120.5,121.29,119.56,120.35,1723931
2024-08-26,127.57,128.97,125.35,126.75,1251728
2024-08-27,126.11,128.44,124.23,126.56,1229832
2024-08-28,123.1,124.17,121.98,123.05,1536843
2024-08-29,127.07,128.0,125.48,126.41,1008991
2024-08-30,124.75,126.07,122.57,123.88,1779488
2024-09-02,124.78,126.38,123.19,124.79,1973908
2024-09-03,127.66,128.72,125.77,126.84,1390698
2024-09-04,125.53,126.83,123.99,125.29,1721801
2024-09-05,123.86,124.32,123.82,124.29,1680040
2024-09-06,123.51,125.04,121.52,123.05,2116278
2024-09-09,123.31,124.31,121.79,122.79,1873161
2024-09-10,118.99,120.87,117.16,119.04,1603560
2024-09-11,116.54,117.86,114.96,116.27,1537378
2024-09-12,115.23,117.36,114.0,116.13,698013
2024-09-13,119.06,120.76,117.06,118.76,2257549
2024-09-16,120.61,121.45,119.54,120.38,944360
2024-09-17,125.72,126.21,124.07,124.56,1840733
2024-09-18,124.83,127.38,123.65,126.21,1764157
2024-09-19,125.19,126.37,123.82,125.0,1220247
2024-09-20,124.18,126.43,122.48,124.72,1674886
2024-09-23,119.88,121.28,118.57,119.97,1183458
2024-09-24,118.44,120.27,116.0,117.83,1236427
2024-09-25,115.65,117.37,113.86,115.59,1286212
2024-09-26,117.65,119.6,114.47,116.43,1417128
2024-09-27,118.72,120.75,116.1,118.14,1068976
2024-09-30,117.34,118.47,115.84,116.97,1439614
2024-10-01,116.19,117.15,114.8,115.76,1012829
2024-10-02,111.47,113.52,110.28,112.33,1744563
2024-10-03,112.28,113.42,111.16,112.29,1506610
2024-10-04,113.92,115.38,111.68,113.14,1248669
2024-10-07,114.27,116.25,112.47,114.44,1308404
2024-10-08,112.59,114.02,111.41,112.83,1133606
2024-10-09,118.3,118.41,117.66,117.76,2041227
2024-10-10,120.47,121.3,119.89,120.73,1619531
2024-10-11,119.58,122.07,118.11,120.6,1796764
2024-10-14,119.12,120.47,118.12,119.47,1859930
2024-10-15,118.43,120.05,117.22,118.84,1643103
2024-10-16,120.26,121.21,118.38,119.33,1530228
2024-10-17,120.09,120.17,119.33,119.41,1420706
2024-10-18,119.53,120.95,119.25,120.67,2223596
2024-10-21,122.71,124.65,120.64,122.58,1430642
2024-10-22,126.18,127.16,124.87,125.86,1320434
2024-10-23,128.5,129.81,127.24,128.55,2070767
2024-10-24,128.11,129.62,126.73,128.23,1425046
2024-10-25,129.18,129.73,128.55,129.09,1911393
2024-10-28,127.81,129.34,126.58,128.12,1440475
2024-10-29,127.28,128.74,125.23,126.69,1522405
2024-10-30,131.27,132.64,129.79,131.16,1790603
2024-10-31,130.27,132.12,128.13,129.97,2101483
2024-11-01,134.93,135.47,134.02,134.56,2148163
2024-11-04,134.86,135.87,132.55,133.57,1368389
2024-11-05,132.77,135.59,131.18,134.0,1154185
2024-11-06,137.5,137.53,136.36,136.4,1543832
2024-11-07,136.64,137.64,135.24,136.24,1230796
2024-11-08,137.1,138.04,136.02,136.95,1393903
2024-11-11,136.14,137.08,135.22,136.16,1435476
2024-11-12,135.31,136.31,133.83,134.83,1577571
2024-11-13,133.81,135.92,132.15,134.26,1053496
2024-11-14,133.14,133.45,132.25,132.56,1189058
2024-11-15,135.31,137.97,133.6,136.26,1614575
2024-11-18,134.87,136.57,133.96,135.66,1999881
2024-11-19,139.47,140.98,137.99,139.51,969105
2024-11-20,132.01,134.4,130.53,132.92,2343194
2024-11-21,132.48,134.3,131.0,132.82,1169003
2024-11-22,134.73,135.69,133.04,134.0,1351656
2024-11-25,131.99,134.12,131.01,133.14,1574680
2024-11-26,136.37,136.97,134.97,135.56,1860529
2024-11-27,136.65,137.91,135.61,136.87,1163489
2024-11-28,134.96,136.58,134.39,136.0,2090056
2024-11-29,136.08,137.78,135.12,136.82,1900579
2024-12-02,141.91,144.6,140.51,143.2,1315004
2024-12-03,143.53,145.13,141.84,143.45,1443590
2024-12-04,143.65,145.33,142.11,143.8,1728531
2024-12-05,141.94,143.48,140.86,142.4,1013683
2024-12-06,143.12,143.69,141.81,142.38,1565779
2024-12-09,140.03,141.61,137.44,139.02,1394604
2024-12-10,137.82,139.15,136.96,138.28,1832566
2024-12-11,143.99,145.16,142.63,143.81,2443585
2024-12-12,145.43,146.89,144.49,145.95,1369827
2024-12-13,147.17,148.51,145.72,147.06,1407646
2024-12-16,149.65,151.1,147.77,149.22,1396594
2024-12-17,151.68,154.75,150.11,153.18,1159750
2024-12-18,153.6,155.12,152.5,154.02,1051658
2024-12-19,155.48,157.2,154.28,156.0,1366995
2024-12-20,156.14,156.87,155.27,156.0,1403037
2024-12-23,155.1,156.8,154.08,155.79,1588946
2024-12-24,155.8,156.44,155.36,156.0,1416738
2024-12-25,149.88,151.61,148.13,149.85,1471153
2024-12-26,147.73,148.6,147.15,148.02,2204825
2024-12-27,147.58,148.8,146.99,148.2,1432820
2024-12-30,144.47,147.3,142.77,145.61,1553760
2024-12-31,145.09,145.76,144.17,144.84,1305608
2025-01-01,143.43,145.04,141.35,142.96,2513322
2025-01-02,141.69,141.91,140.86,141.08,1524186
2025-01-03,146.89,148.86,145.17,147.14,1461968
2025-01-06,148.45,149.45,147.18,148.19,1715546
2025-01-07,148.45,149.32,146.75,147.61,761951
2025-01-08,149.61,152.22,147.66,150.27,1577580
2025-01-09,149.01,149.91,148.32,149.22,1876632
2025-01-10,150.97,152.08,149.71,150.83,1303120
2025-01-13,151.02,152.16,150.01,151.15,1705059
2025-01-14,155.2,155.39,154.27,154.46,974970
2025-01-15,150.46,151.77,149.25,150.55,939023
2025-01-16,151.45,152.83,150.48,151.85,1338320
2025-01-17,151.31,152.75,150.18,151.62,1817111
2025-01-20,148.79,150.26,146.91,148.38,1597531
2025-01-21,149.97,151.36,149.04,150.43,1748148
2025-01-22,147.92,149.5,146.31,147.89,1594096
2025-01-23,151.25,152.65,149.85,151.25,943049
2025-01-24,151.82,152.82,150.94,151.94,1803364
2025-01-27,152.62,154.34,151.33,153.05,1342559
2025-01-28,152.95,154.48,151.16,152.69,1420826
2025-01-29,154.31,155.56,153.02,154.28,1774509
2025-01-30,149.09,150.51,147.9,149.33,1339959
2025-01-31,148.41,150.28,147.16,149.03,1646064
2025-02-03,146.56,149.04,144.61,147.09,1221596
2025-02-04,147.73,149.08,145.97,147.32,875627
2025-02-05,146.72,147.15,146.34,146.78,1451542
2025-02-06,148.17,150.25,145.72,147.81,1773033
2025-02-07,144.43,146.38,143.45,145.4,2031563
2025-02-10,149.39,151.43,147.28,149.32,1227533
2025-02-11,153.91,154.78,153.43,154.29,1350322
2025-02-12,153.94,154.64,152.54,153.23,1790132
2025-02-13,152.88,154.43,151.09,152.65,1395054
2025-02-14,152.75,155.01,150.52,152.78,1037792
2025-02-17,155.62,157.54,153.29,155.21,1654830
2025-02-18,156.95,157.27,155.67,156.0,1377459
2025-02-19,151.81,153.51,150.86,152.56,1446945
2025-02-20,150.81,151.54,149.85,150.58,1800478
2025-02-21,146.58,149.22,144.95,147.58,1392662
2025-02-24,143.41,144.79,143.15,144.53,832820
2025-02-25,139.64,141.51,138.44,140.3,1954975
2025-02-26,141.27,141.75,140.39,140.86,645697
2025-02-27,137.59,138.26,137.16,137.84,1410334
2025-02-28,140.64,143.55,138.22,141.13,849925
2025-03-03,143.07,145.13,140.89,142.95,1322000
2025-03-04,139.64,142.16,137.66,140.19,702565
2025-03-05,136.36,137.99,135.85,137.48,1611335
2025-03-06,136.18,137.25,134.74,135.8,2257276
2025-03-07,138.69,140.02,137.55,138.89,1358710
2025-03-10,137.29,138.44,135.49,136.63,1330561
2025-03-11,133.85,135.64,131.11,132.9,1842635
2025-03-12,131.81,133.25,131.21,132.64,1393578
2025-03-13,133.17,134.32,132.23,133.38,1403398
2025-03-14,132.02,132.67,131.04,131.68,1576684
2025-03-17,135.08,136.29,134.16,135.37,1387185
2025-03-18,136.14,137.45,134.44,135.74,1208259
2025-03-19,136.77,138.01,135.37,136.61,1647903
2025-03-20,134.19,136.06,132.51,134.38,1641093
2025-03-21,133.4,134.65,132.86,134.11,994998
2025-03-24,133.8,134.64,132.74,133.58,1381579
2025-03-25,128.02,129.88,126.21,128.08,2303225
2025-03-26,128.63,130.9,126.43,128.71,1712590
2025-03-27,125.15,126.21,123.37,124.43,1065158
2025-03-28,124.67,126.52,122.54,124.39,949805
2025-03-31,120.91,122.26,119.6,120.95,1732270
2025-04-01,125.13,126.71,124.22,125.79,1852792
2025-04-02,127.64,128.89,125.31,126.56,1871015
2025-04-03,128.66,130.08,127.15,128.56,1376330
2025-04-04,130.53,131.58,129.62,130.67,1552424
2025-04-07,128.12,129.41,126.16,127.45,1753898
2025-04-08,121.67,123.62,120.11,122.06,400000
2025-04-09,120.49,122.38,119.47,121.36,855267
2025-04-10,123.89,125.19,122.25,123.55,1183217
2025-04-11,123.86,124.3,123.37,123.81,1186522
2025-04-14,125.46,126.08,125.07,125.69,1893966
2025-04-15,127.49,129.6,125.78,127.89,1462033
2025-04-16,124.53,125.26,123.6,124.34,1404217
2025-04-17,124.79,126.36,123.47,125.05,2013723
2025-04-18,129.34,130.8,128.22,129.68,1646396
2025-04-21,128.78,129.92,127.12,128.26,1377752
2025-04-22,123.09,124.64,121.89,123.44,1604378
2025-04-23,122.53,123.99,121.48,122.94,1791647
2025-04-24,121.89,122.82,120.98,121.9,1773287
2025-04-25,123.39,124.9,121.46,122.96,1758542
2025-04-28,120.68,122.22,119.38,120.92,1631333
2025-04-29,121.3,121.62,120.91,121.23,1510943
2025-04-30,116.32,117.77,114.66,116.11,1410125
2025-05-01,118.33,118.62,118.01,118.31,977876
2025-05-02,120.4,123.27,119.32,122.19,2104324
2025-05-05,126.36,126.99,124.67,125.31,1752893
2025-05-06,122.51,123.56,120.71,121.75,808203
2025-05-07,123.44,124.46,121.56,122.58,1376411
2025-05-08,116.66,118.1,114.2,115.63,1823639
2025-05-09,117.46,118.59,115.37,116.5,1168081
2025-05-12,117.01,118.22,115.33,116.53,1792529
2025-05-13,114.63,115.46,113.55,114.38,1537692
2025-05-14,115.23,116.51,114.13,115.41,1515178
2025-05-15,116.17,117.5,114.62,115.94,1071408
2025-05-16,118.75,119.25,117.84,118.34,2333198
2025-05-19,118.36,119.98,117.17,118.79,2017067
2025-05-20,119.39,120.07,118.8,119.48,1017200
2025-05-21,115.23,116.66,113.61,115.04,1833372
2025-05-22,112.71,113.7,111.54,112.52,1704648
2025-05-23,112.56,113.38,110.85,111.67,2825356
2025-05-26,112.42,114.5,110.57,112.65,2215615
2025-05-27,113.47,114.84,111.52,112.89,1795171
2025-05-28,117.51,117.61,116.58,116.68,1699554
2025-05-29,114.6,115.69,113.72,114.81,1574960
2025-05-30,114.6,116.07,113.0,114.47,1319421
2025-06-02,115.99,116.16,115.12,115.29,1177870
2025-06-03,114.24,116.22,112.98,114.96,1342960
2025-06-04,116.66,117.47,115.52,116.34,1985832
2025-06-05,115.63,116.58,114.24,115.18,907419
2025-06-06,118.02,119.15,117.59,118.73,1965874
2025-06-09,118.57,119.14,117.56,118.12,2198730
2025-06-10,120.72,120.96,120.65,120.89,1910719
2025-06-11,121.7,122.91,119.72,120.92,1193667
2025-06-12,125.26,126.21,123.57,124.52,1511561
2025-06-13,121.54,122.89,119.9,121.26,1351957
2025-06-16,121.94,124.14,120.36,122.56,719405
2025-06-17,121.81,123.14,120.27,121.61,1708503
2025-06-18,122.01,123.55,120.7,122.23,1805315
2025-06-19,124.48,126.33,123.25,125.11,1656189
2025-06-20,121.69,123.17,120.96,122.44,2090057
2025-06-23,120.03,120.85,118.57,119.4,1779829
2025-06-24,117.43,119.33,115.27,117.18,1931751
2025-06-25,116.49,119.0,115.44,117.95,2016889
2025-06-26,114.66,115.55,112.78,113.67,1074212
2025-06-27,114.29,115.18,113.26,114.14,1513508
2025-06-30,110.65,112.93,109.06,111.35,1725617
2025-07-01,109.22,109.88,108.29,108.95,909536
2025-07-02,107.65,109.86,106.2,108.41,869327
2025-07-03,110.05,112.14,107.56,109.65,1292120
2025-07-04,108.39,110.2,106.7,108.5,1849575
2025-07-07,107.32,108.81,106.21,107.69,1563653
2025-07-08,107.8,109.45,106.3,107.95,1639426
2025-07-09,108.46,108.81,107.32,107.67,1948229
2025-07-10,105.5,106.63,103.86,105.0,1671569
2025-07-11,105.59,106.95,103.64,105.0,1431877
2025-07-14,105.79,106.65,104.76,105.61,1048302
